link,name,type
/wiki/1955,1955,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Willis_Lamb_1955.jpg,Tập tin:Willis Lamb 1955.jpg,UNKNOWN
/wiki/Willis_Lamb,Willis Lamb,PERSON
/w/index.php?title=C%E1%BA%A5u_tr%C3%BAc_tinh_t%E1%BA%BF&action=edit&redlink=1,Tạo Cấu trúc tinh tế,UNKNOWN
#cite_note-N1955-57,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Polykarp_Kusch.jpg,Tập tin:Polykarp Kusch.jpg,UNKNOWN
/wiki/Polykarp_Kusch,Polykarp Kusch,PERSON
/wiki/Blankenburg_(Harz),Blankenburg (Harz),PLACE
/wiki/1956,1956,UNKNOWN
"/wiki/T%E1%BA%ADp_tin:William_Shockley,_Stanford_University.jpg","Tập tin:William Shockley, Stanford University.jpg",UNKNOWN
/wiki/William_Shockley,William Shockley,PERSON
/wiki/Lu%C3%A2n_%C4%90%C3%B4n,Luân Đôn,PLACE
/wiki/Ch%E1%BA%A5t_b%C3%A1n_d%E1%BA%ABn,Chất bán dẫn,UNKNOWN
/wiki/Tranzito,Transistor,UNKNOWN
#cite_note-58,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Bardeen.jpg,Tập tin:Bardeen.jpg,UNKNOWN
/wiki/John_Bardeen,John Bardeen,PERSON
/wiki/T%E1%BA%ADp_tin:Brattain.jpg,Tập tin:Brattain.jpg,UNKNOWN
/wiki/Walter_Brattain,Walter Houser Brattain,PERSON
/wiki/1957,1957,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Yang.jpg,Tập tin:Yang.jpg,UNKNOWN
/wiki/D%C6%B0%C6%A1ng_Ch%E1%BA%A5n_Ninh,Dương Chấn Ninh,PERSON
/wiki/%C4%90%C3%A0i_Loan,Đài Loan,ORGANIZATION
/wiki/Trung_Hoa_D%C3%A2n_Qu%E1%BB%91c_(1912%E2%80%931949),Trung Hoa Dân Quốc (1912–1949),ORGANIZATION
/wiki/H%E1%BA%A1t_c%C6%A1_b%E1%BA%A3n,Hạt sơ cấp,UNKNOWN
#cite_note-59,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:TD_Lee.jpg,Tập tin:TD Lee.jpg,UNKNOWN
/wiki/L%C3%BD_Ch%C3%ADnh_%C4%90%E1%BA%A1o,Lý Chính Đạo,PERSON
/wiki/1958,1958,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Cerenkov.jpg,Tập tin:Cerenkov.jpg,UNKNOWN
/wiki/Pavel_Alekseyevich_Cherenkov,Pavel Alekseyevich Cherenkov,PERSON
/wiki/Li%C3%AAn_X%C3%B4,Liên Xô,ORGANIZATION
/wiki/Hi%E1%BB%87u_%E1%BB%A9ng_Cherenkov,Bức xạ Cherenkov,UNKNOWN
#cite_note-60,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Ilya_Frank.jpg,Tập tin:Ilya Frank.jpg,UNKNOWN
